13117,833595,Malhação - Adolescência: A Passagem da Infância Para a Vida Adulta,,2,2011,M4342,,,,(Brazil) (nineteenth season title),320b4fa8ae74411e55cde509d9883e9c
6017,393076,Dirty Pair,,2,1985,D6316,,,,(USA),f77196370d0815fd72eb57ea2896c0e3
32738,1662042,Aasman,,1,1952,A25,,,,(India: Hindi title) (alternative transliteration),98743dd72fbc5135079ea0e658deee3d
30289,1651366,Un lac pour la prairie,,1,1961,L2164,,,,(Canada: French title),ff3bbe8a003d03d7bbc55c55f464ce0b
27209,1639798,28 Tage,,1,2000,T2,,,,(Germany),107c90b89a3dc3b296453e3d57a9ab36
35906,1670559,Still Orangutans,,1,2007,S3465,,,,(International: English title),62c03e63118567b64e55f67a98335a45
48289,1708452,Dead Wrong,,1,1994,D3652,,,,(Australia),7c034ac397e1fe86ae9dd019b523d80d
17126,1080309,Reportageholdet: Forsvarsadvokaten,,7,,R1632,17147,,,(Denmark) (series title),41a9c7c526f315fd9e1de11d98ce0dfa
31090,1654848,Typically British!,,3,1997,T1241,,,,(UK) (video title),fe673c589307198ee81829ec955dd99d
11641,751100,Anime hachijuu nichikan sekai isshu,,2,1987,A5252,,,,(Japan),f7b4bfab04e47b268875bf3e989020ac
